epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1755.74,1.29767,0.80136,1.21285,0.74996,0.67539,0.7221,0.34292,1.99851,1.32301,1.7125,0.000479531,0.000479531,0.000479531
70,1781.02,1.26837,0.78797,1.20697,0.81806,0.65129,0.74546,0.35023,1.99746,1.40418,1.69452,0.000453537,0.000453537,0.000453537
71,1804.87,1.27467,0.78638,1.21082,0.78753,0.69284,0.74794,0.35624,1.95347,1.31838,1.68073,0.000428093,0.000428093,0.000428093
72,1829.56,1.26036,0.78193,1.20251,0.77268,0.67628,0.73766,0.35788,1.95415,1.29213,1.67564,0.000403222,0.000403222,0.000403222
73,1856.64,1.26427,0.77741,1.1977,0.78001,0.65794,0.7283,0.35398,2.06189,1.36349,1.81721,0.00037895,0.00037895,0.00037895
74,1882.69,1.26013,0.77681,1.19476,0.80044,0.68599,0.74972,0.35891,1.98687,1.2055,1.68178,0.000355301,0.000355301,0.000355301
75,1907.35,1.25708,0.76765,1.19675,0.78812,0.66862,0.74049,0.35554,1.96141,1.26754,1.67922,0.000332298,0.000332298,0.000332298
76,1931.81,1.23864,0.75747,1.1826,0.78577,0.69134,0.73927,0.3549,2.02095,1.26873,1.71454,0.000309964,0.000309964,0.000309964
77,1959.46,1.23573,0.75784,1.1925,0.78597,0.69634,0.74401,0.35568,1.95441,1.2918,1.70521,0.000288321,0.000288321,0.000288321
78,1986.59,1.23458,0.7506,1.18552,0.83122,0.65445,0.73143,0.35464,2.01164,1.30616,1.73935,0.00026739,0.00026739,0.00026739
79,2013.87,1.23609,0.75691,1.185,0.78499,0.68586,0.73546,0.35227,2.01967,1.3285,1.75991,0.000247192,0.000247192,0.000247192
80,2037.88,1.23094,0.74216,1.17648,0.79981,0.66841,0.72658,0.34846,2.04564,1.2907,1.76579,0.000227747,0.000227747,0.000227747
81,2065.49,1.23733,0.74905,1.18321,0.78313,0.69634,0.73802,0.35531,2.0257,1.22283,1.80234,0.000209073,0.000209073,0.000209073
82,2088.59,1.2222,0.74843,1.17514,0.82475,0.65704,0.74112,0.35602,1.99256,1.2535,1.72093,0.00019119,0.00019119,0.00019119
83,2111.51,1.20767,0.73296,1.16976,0.78904,0.67714,0.74164,0.35592,1.96259,1.239,1.68807,0.000174115,0.000174115,0.000174115
84,2134.46,1.20629,0.74048,1.17466,0.80004,0.68063,0.74032,0.35628,1.97474,1.27398,1.6888,0.000157865,0.000157865,0.000157865
85,2156.53,1.19939,0.73416,1.16733,0.80313,0.6906,0.74485,0.35755,1.99436,1.28867,1.73636,0.000142456,0.000142456,0.000142456
86,2178.89,1.20756,0.74003,1.17169,0.8147,0.66841,0.7315,0.35324,1.94379,1.28775,1.6828,0.000127904,0.000127904,0.000127904
87,2201.17,1.19919,0.72781,1.16769,0.81687,0.67714,0.74145,0.35301,1.98141,1.24579,1.72391,0.000114221,0.000114221,0.000114221
88,2224.54,1.20104,0.72651,1.16534,0.80838,0.67735,0.73429,0.35376,1.94678,1.23364,1.69349,0.000101423,0.000101423,0.000101423
89,2250.7,1.20354,0.73562,1.16736,0.8186,0.66944,0.73585,0.35074,2.00569,1.25272,1.76163,8.95213e-05,8.95213e-05,8.95213e-05
90,2275.5,1.18624,0.7136,1.15814,0.81395,0.68717,0.73408,0.3528,1.95424,1.26208,1.70474,7.8528e-05,7.8528e-05,7.8528e-05
91,2296.84,1.17605,0.64398,1.14753,0.76064,0.71553,0.73448,0.35243,1.99274,1.29926,1.73019,6.8454e-05,6.8454e-05,6.8454e-05
92,2316.33,1.13797,0.61098,1.12604,0.79287,0.68141,0.7363,0.35079,1.95537,1.27246,1.706,5.93093e-05,5.93093e-05,5.93093e-05
93,2339.16,1.12682,0.59702,1.11725,0.77745,0.70506,0.74291,0.34848,1.9484,1.2875,1.70534,5.11027e-05,5.11027e-05,5.11027e-05
94,2362.27,1.12756,0.59934,1.12444,0.79233,0.68586,0.73751,0.34903,1.96862,1.30158,1.72035,4.38424e-05,4.38424e-05,4.38424e-05
95,2382.8,1.12541,0.59152,1.11728,0.79007,0.68237,0.74209,0.35091,1.94875,1.27116,1.70377,3.75356e-05,3.75356e-05,3.75356e-05
